speed;rate;vol;wear;rough;cost;victories;defeats;draws
65.64;50;5000;34.35;0.51;9.33;220;779;0
68.98;149.84;5000;33.56;0.67;4.36;333;666;0
76.27;147.87;5000.01;33.42;0.66;4.53;358;641;0
72.63;50.05;5000;35.19;0.5;9.75;118;881;0
50.93;57.93;5000;32.67;0.56;7.75;570;429;0
54.4;71.12;5000;32.09;0.6;6.7;715;284;0
58.25;82.09;5000.01;31.75;0.62;6.08;856;143;0
49.64;54.04;5000;32.84;0.55;8.12;511;488;0
69.64;150;5000;33.55;0.67;4.37;336;663;0
54.69;73.68;5000;31.99;0.61;6.52;753;246;0
51.35;66.84;5000;32.26;0.59;6.95;669;330;0
55.62;50;5000;33.33;0.53;8.81;375;624;0
70.49;50;5000;34.93;0.51;9.62;147;852;0
57.79;83.42;5000;31.7;0.62;5.99;875;124;0
48.59;50.08;5000;33;0.54;8.54;444;555;0
69.72;50;5000;34.84;0.51;9.57;160;839;0
66.52;50;5000;34.45;0.51;9.38;208;791;0
76.12;143.44;5000;33.16;0.66;4.6;404;595;0
56.66;50;5000;33.42;0.53;8.85;358;641;0
64.99;50;5000;34.27;0.51;9.29;230;769;0
64.98;150;5000;33.9;0.67;4.33;281;718;0
72.49;50;5000;35.17;0.5;9.75;119;880;0
54.64;80.63;5000;31.77;0.62;6.08;848;151;0
55.2;50;5000;33.3;0.53;8.79;378;621;0
65.93;118.82;5000.01;31.82;0.65;4.85;830;169;0
58.08;87.1;5000;31.61;0.63;5.81;915;84;0
59.28;91.85;5000.01;31.54;0.64;5.61;957;41;1
76.96;50;5000;35.69;0.5;10.03;45;954;0
54.3;72.7;5000;32.02;0.6;6.58;740;259;0
69.5;146.51;5000;33.27;0.66;4.41;383;616;0
70.43;50;5000;34.93;0.51;9.62;148;851;0
67.06;50;5000;34.52;0.51;9.41;199;800;0
66.75;150;5000.17;33.72;0.67;4.34;308;691;0
68.91;50;5000;34.74;0.51;9.52;174;825;0
77.61;50;5000;35.76;0.49;10.07;35;964;0
62.29;50;5000;33.96;0.52;9.14;274;725;0
74.7;50;5000;35.44;0.5;9.89;83;916;0
54.26;70.87;5000;32.1;0.6;6.71;710;289;0
76.78;50;5000;35.67;0.5;10.02;48;951;0
65.24;50;5000;34.3;0.51;9.3;227;772;0
52.75;50;5000;33.15;0.53;8.69;406;593;0
74.77;50;5000;35.44;0.5;9.89;81;918;0
60.34;50;5000;33.76;0.52;9.03;301;698;0
63.53;103.09;5000;31.54;0.65;5.26;960;39;0
52.1;57.5;5000;32.71;0.56;7.83;551;448;0
59.06;50;5000;33.63;0.52;8.97;318;681;0
77.34;50;5000;35.73;0.49;10.05;39;960;0
59.46;50;5000;33.67;0.52;8.99;313;686;0
57.35;84.75;5000;31.66;0.63;5.91;894;105;0
51.4;68.83;5000;32.18;0.6;6.8;685;314;0
50.75;58.79;5000;32.62;0.57;7.66;585;414;0
51.4;59.19;5000.03;32.61;0.57;7.64;587;412;0
50.96;54.22;5000;32.85;0.55;8.14;507;492;0
54.32;72.44;5000;32.04;0.6;6.6;736;263;0
61.69;116.1;5000;31.78;0.66;4.83;835;164;0
60.91;50;5000;33.81;0.52;9.06;293;706;0
65.49;50;5000.01;34.33;0.51;9.32;223;776;0
51.86;59.41;5000;32.61;0.57;7.63;588;411;0
76.46;150;5000;33.56;0.66;4.5;331;668;0
73.98;50;5000;35.35;0.5;9.84;95;904;0
73.7;50;5000;35.32;0.5;9.82;101;898;0
75.06;50;5000;35.48;0.5;9.91;77;922;0
58.13;84.87;5000.01;31.66;0.63;5.92;891;108;0
77.41;50;5000;35.74;0.49;10.06;38;961;0
61.13;50;5000;33.84;0.52;9.07;289;710;0
60.72;50;5000;33.8;0.52;9.05;295;704;0
52.99;69.09;5000.02;32.17;0.6;6.81;692;307;0
54.53;76.31;5000.04;31.89;0.61;6.34;794;205;0
74.83;145.94;5000.02;33.25;0.66;4.52;388;611;0
55.09;74.18;5000;31.97;0.61;6.5;761;238;0
51.42;61.29;5000;32.51;0.57;7.44;616;383;0
53.96;68.09;5000.07;32.22;0.59;6.92;678;321;0
49.79;57.93;5000;32.66;0.56;7.72;572;427;0
53.01;74.92;5000;31.95;0.61;6.4;772;227;0
54.27;73.65;5000.04;31.99;0.61;6.51;754;245;0
63.15;50;5000;34.06;0.52;9.18;260;739;0
72.42;50;5000;35.17;0.5;9.74;120;879;0
58.4;85.13;5000.02;31.66;0.63;5.92;893;106;0
51.51;58.74;5000;32.64;0.57;7.68;580;419;0
73.9;145.2;5000.01;33.18;0.66;4.51;402;597;0
57;50;5000;33.44;0.53;8.87;351;648;0
59.91;92.02;5000;31.55;0.64;5.62;954;45;0
62.7;109.15;5000.01;31.58;0.65;5.04;936;63;0
51.41;57;5000;32.72;0.56;7.86;549;450;0
51.81;54.56;5000.01;32.86;0.55;8.13;502;497;0
59.69;50;5000;33.69;0.52;9;310;689;0
51.94;52.4;5000;32.98;0.54;8.38;455;544;0
58.72;84.36;5000;31.69;0.62;5.97;879;120;0
70.64;50;5000;34.95;0.51;9.63;145;854;0
75.77;50;5000;35.56;0.5;9.95;65;934;0
69.84;50.09;5000;34.85;0.51;9.57;159;840;0
63.9;50;5000;34.14;0.52;9.23;248;751;0
50.59;53.53;5000;32.88;0.55;8.2;498;501;0
57.75;85.52;5000;31.64;0.63;5.88;900;99;0
60.44;90.76;5000;31.58;0.63;5.69;938;61;0
51.94;57.39;5000;32.72;0.56;7.83;550;449;0
52.35;64.29;5000;32.38;0.58;7.19;643;356;0
60.92;113.2;5000.03;31.71;0.65;4.89;861;138;0
66.75;144.76;5000;33.26;0.67;4.39;379;620;0
76.21;149.99;5000;33.55;0.66;4.5;333;666;0
53.9;68.79;5000;32.19;0.59;6.86;684;315;0
53.17;73.82;5000.1;31.98;0.61;6.47;756;243;0
57.3;81.89;5000.01;31.73;0.62;6.07;861;138;0
55.42;75.51;5000.03;31.93;0.61;6.42;783;216;0
63.5;122.26;5000.02;31.97;0.66;4.72;760;239;0
64.07;116.91;5000.01;31.76;0.65;4.85;850;149;0
69.28;50;5000;34.79;0.51;9.55;166;833;0
76.23;50;5000.01;35.61;0.5;9.98;58;941;0
56;78.68;5000;31.82;0.62;6.23;828;171;0
48.89;50.38;5000;33;0.54;8.51;448;551;0
70.28;121.22;5000;32.01;0.65;4.9;748;251;0
67.48;117.04;5000;31.8;0.65;4.93;835;164;0
71.6;137.46;5000;32.68;0.66;4.59;564;435;0
76.27;147.29;5000.01;33.39;0.66;4.54;366;633;0
54.38;77.93;5000;31.84;0.62;6.23;817;182;0
74.88;50;5000.01;35.46;0.5;9.9;80;919;0
55.73;50;5000;33.34;0.53;8.81;374;625;0
51.05;57.07;5000;32.71;0.56;7.84;552;447;0
54.27;72.07;5000;32.05;0.6;6.62;730;269;0
59.71;103.03;5000;31.53;0.65;5.18;969;29;1
55.12;81.75;5000;31.73;0.62;6.02;862;137;0
73.16;50;5000;35.26;0.5;9.79;111;888;0
65.34;50;5000;34.31;0.51;9.31;226;773;0
61.12;91.45;5000.01;31.58;0.63;5.68;934;65;0
62.38;50;5000;33.97;0.52;9.14;272;727;0
60.55;88.87;5000.02;31.62;0.63;5.78;912;87;0
64.07;121.36;5000.01;31.92;0.66;4.75;783;216;0
70.76;50;5000;34.97;0.51;9.64;142;856;1
51.07;50;5000;33.07;0.53;8.63;421;578;0
56.47;91.85;5000.01;31.56;0.64;5.55;947;52;0
57.04;77.7;5000;31.87;0.61;6.32;804;195;0
59.91;87.86;5000.11;31.63;0.63;5.82;910;89;0
55.51;50;5000;33.33;0.53;8.8;376;623;0
57.75;85.52;5000;31.64;0.63;5.88;899;100;0
52.26;61.78;5000;32.5;0.58;7.41;619;380;0
49.64;57.41;5000.01;32.68;0.56;7.76;562;437;0
63.81;110.28;5000.01;31.6;0.65;5.03;920;79;0
63.03;50;5000;34.05;0.52;9.18;262;737;0
61.2;50;5000;33.85;0.52;9.08;288;711;0
50.31;54.06;5000;32.85;0.55;8.14;509;490;0
66.52;105.73;5000;31.65;0.65;5.26;896;103;0
71.38;50;5000;35.04;0.5;9.68;134;865;0
54.69;78.54;5000;31.82;0.62;6.2;827;172;0
58.08;87.24;5000;31.61;0.63;5.8;917;82;0
50.51;54;5000.01;32.85;0.55;8.15;506;493;0
54.5;50;5000;33.25;0.53;8.76;384;615;0
69.41;145.9;5000;33.23;0.66;4.41;391;608;0
79.95;50;5000;36.01;0.49;10.22;3;996;0
