speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;51.97;6421.93;5.02;0.34;9.88;536;463;0
79.99;68.18;5224.77;5.33;0.39;6.92;492;507;0
80;50;11235.56;4.61;0.27;20.44;870;129;0
80;50;8533.79;4.69;0.31;13.76;699;300;0
80;145.79;11235.44;8.62;0.32;10.4;103;896;0
80;50;11247.7;4.61;0.27;20.48;869;130;0
80;50;10632.78;4.6;0.27;18.82;987;12;0
80;50;10806.97;4.6;0.27;19.29;964;35;0
79.99;50.02;7654.05;4.78;0.32;12.05;582;417;0
79.99;149.55;7874.38;7.03;0.39;6.54;311;688;0
80;148.78;10079.03;8.13;0.34;9.01;195;804;0
79.98;132.61;11924.17;8.49;0.32;11.65;36;963;0
79.9;146.28;10827.95;8.43;0.33;9.92;127;872;0
79.99;138.15;8591.59;7.03;0.38;7.47;287;712;0
80;149.89;7318.58;6.77;0.4;5.98;374;625;0
80;144.46;10283.62;8.09;0.34;9.34;180;819;0
80;50;10203.81;4.61;0.28;17.7;928;71;0
80;50;8640.11;4.68;0.31;13.99;704;295;0
80;50;11131.77;4.61;0.27;20.16;896;103;0
80;50;11781.86;4.64;0.26;21.94;760;239;0
80;50;9572.2;4.63;0.29;16.12;818;181;0
80;50;10788.94;4.6;0.27;19.24;969;30;0
80;50;10970.05;4.61;0.27;19.72;932;67;0
80;136.82;7442.4;6.45;0.4;6.24;372;627;0
79.98;51.56;5321.17;5.27;0.35;8.68;543;456;0
79.99;50;10702.91;4.6;0.27;19.01;965;33;1
80;50;9505.32;4.63;0.29;15.96;808;191;0
79.97;50;10785.93;4.61;0.27;19.23;934;65;0
79.94;150;7241.14;6.74;0.4;5.9;383;616;0
79.98;50.01;9980.88;4.61;0.29;17.13;873;126;0
80;149.96;10029.75;8.15;0.34;8.93;198;801;0
80;146.64;10308.93;8.18;0.34;9.32;175;824;0
79.94;150;7379.56;6.81;0.4;6.04;368;631;0
79.99;142.92;11991.79;8.92;0.32;11.33;64;935;0
80;150;11159.71;8.73;0.32;10.2;121;878;0
80;150;9470.03;7.87;0.35;8.29;215;784;0
79.98;50.36;5113.97;5.31;0.35;8.62;546;453;0
80;50;10988.73;4.61;0.27;19.77;926;73;0
79.96;53.29;6029.93;5.12;0.35;9.22;528;471;0
80;149.52;7025.94;6.62;0.41;5.7;406;593;0
80;50;8255.05;4.71;0.31;13.19;673;326;0
80;149.69;8982.84;7.61;0.37;7.74;245;754;0
80;50;10608.4;4.6;0.28;18.76;998;1;0
80;50.01;8306.02;4.71;0.31;13.29;680;319;0
80;50;11700.68;4.64;0.26;21.71;777;222;0
