speed;rate;vol;wear;rough;cost;victories;defeats;draws
78.69;59.74;5000.28;2.27;0.37;17.96;530;469;0
79.78;61.96;5006.02;2.17;0.37;17.7;706;293;0
79.99;53.2;5000.45;2.15;0.35;19.04;783;216;0
49.91;132.5;5000;4.28;0.45;13.4;20;979;0
80;50;7695.8;2.15;0.32;30.28;777;222;0
48.63;132.43;5000;4.33;0.46;13.39;13;986;0
77.87;62;5000.34;2.34;0.37;17.61;492;507;0
80;50;10805.16;2.16;0.3;42.79;745;254;0
80;50;8972.18;2.2;0.31;35.62;597;402;0
78.81;50.8;5000.56;2.24;0.34;19.42;544;455;0
56.21;131.55;5000.09;4.01;0.45;13.45;79;920;0
80;50;8208.33;2.17;0.31;32.44;701;298;0
74.8;68.34;5000.08;2.6;0.39;16.7;385;614;0
49.55;133.15;5000.11;4.29;0.45;13.4;18;981;0
80;50;6346.9;2.08;0.33;24.67;954;45;0
74.58;62.86;5000.53;2.64;0.38;17.36;369;630;0
80;50;7756.02;2.15;0.32;30.54;765;234;0
80;50;7021.73;2.11;0.32;27.45;871;128;0
78.27;52.9;5000.45;2.3;0.35;19.03;509;490;0
62.52;116.61;5000.18;3.57;0.44;13.69;163;836;0
73.75;100.63;5000;2.64;0.43;14.38;363;636;0
68.71;78.48;5000.01;3.1;0.41;15.5;252;747;0
73.28;132.39;5000;2.82;0.44;13.74;305;694;0
77.57;50.23;5000.14;2.35;0.34;19.46;484;515;0
60.86;138.4;5000.06;3.76;0.45;13.49;115;884;0
80;50;11734.2;2.1;0.29;46.13;883;116;0
78.42;58.6;5000;2.3;0.36;18.11;514;485;0
76.7;61.94;5000.57;2.45;0.37;17.57;439;560;0
62.02;90.2;5000.13;3.61;0.43;14.52;151;847;1
73.59;67.47;5000.02;2.71;0.39;16.75;349;650;0
80;50;5106.47;2.12;0.34;19.98;852;147;0
76;61.94;5000;2.51;0.37;17.54;414;585;0
79.27;52.17;5001.83;2.21;0.35;19.2;560;439;0
63.43;134.63;5000;3.58;0.45;13.54;157;842;0
78.93;56.2;5000.16;2.25;0.36;18.5;539;460;0
80;50;9389.8;2.2;0.3;37.32;565;434;0
73.92;63.01;5000.19;2.7;0.38;17.32;350;649;0
80;50;9211.99;2.2;0.31;36.6;573;426;0
78.51;58.58;5000.04;2.29;0.36;18.12;518;481;0
80;50;10587.71;2.17;0.3;41.98;716;283;0
80;50;6460.7;2.08;0.33;25.13;941;58;0
52.28;133.08;5000.03;4.19;0.45;13.41;42;957;0
80;50;11637.04;2.11;0.29;45.79;870;129;0
71.55;61.96;5000.77;2.91;0.38;17.36;287;712;0
60.96;120.64;5000.01;3.69;0.44;13.6;135;864;0
57.81;131.7;5000.05;3.92;0.45;13.47;93;906;0
77.94;103.01;5000.04;2.28;0.43;14.41;517;482;0
75.28;69.22;5001.1;2.56;0.39;16.62;402;597;0
80;50;7792.51;2.15;0.32;30.69;759;240;0
80;50;8427.86;2.18;0.31;33.36;670;329;0
76.75;54.2;5000.01;2.44;0.35;18.74;440;559;0
80;50;5775.15;2.07;0.34;22.43;970;29;0
77.62;79.34;5000.07;2.32;0.4;15.72;504;495;0
71.61;75.6;5000.14;2.86;0.4;15.85;303;696;0
80;50;5135.31;2.11;0.34;20.08;861;138;0
80;54.34;5000.18;2.15;0.35;18.85;773;226;0
50.48;132.42;5000;4.26;0.45;13.4;25;974;0
80;50;7424.93;2.13;0.32;29.14;817;182;0
72.7;100.41;5000.2;2.73;0.43;14.36;338;661;0
80;50.01;8305.91;2.18;0.31;32.85;686;313;0
80;50;10706.62;2.16;0.3;42.43;734;265;0
80;50;8036.37;2.17;0.31;31.72;727;272;0
61.7;122.98;5000.04;3.65;0.44;13.59;144;855;0
48.63;132.19;5000;4.33;0.46;13.39;12;987;0
80;50;8538.23;2.19;0.31;33.83;652;347;0
77.04;62.74;5000.09;2.42;0.37;17.47;450;549;0
77.4;66.57;5000.21;2.38;0.38;17;472;527;0
61.02;131.17;5000.03;3.73;0.45;13.51;129;870;0
53.57;133.73;5000.03;4.14;0.45;13.42;52;947;0
80;90.86;5445.38;2.07;0.41;16.25;917;82;0
79.72;55.19;5001;2.18;0.36;18.7;696;303;0
80;50;7293.44;2.12;0.32;28.58;831;168;0
76.25;59.93;5000.29;2.49;0.37;17.83;422;577;0
80;50;10511.43;2.17;0.3;41.7;706;293;0
55.15;137.03;5000.33;4.07;0.45;13.43;61;938;0
69.32;123.56;5000.09;3.09;0.44;13.74;249;750;0
78.43;50.23;5000.32;2.27;0.34;19.5;527;472;0
80;50;5856.8;2.07;0.33;22.74;978;21;0
80;50;8591.68;2.19;0.31;34.05;647;352;0
78.7;57.15;5000.34;2.27;0.36;18.35;529;470;0
70.22;132.04;5000.02;3.07;0.44;13.68;250;749;0
76.65;131.69;5000;2.53;0.44;13.82;391;608;0
