speed;rate;vol;wear;rough;cost;victories;defeats;draws
78.01;50;9360.63;1.42;0.27;38.04;891;108;0
73.79;149.91;5000.01;3.07;0.37;14.94;13;986;0
79.71;50.02;6197.87;1.66;0.29;23.87;629;370;0
76.39;50;9710.66;1.47;0.27;39.99;837;162;0
66.68;50;6619.79;1.68;0.27;27.41;755;244;0
68.03;50;5600.12;1.94;0.28;22.88;655;344;0
80;50.32;5627.27;1.83;0.29;21.75;569;430;0
72.22;50;8684.72;1.45;0.27;36.19;893;106;0
69;50.01;7061.36;1.57;0.27;29.11;788;211;0
70.09;50;8541.18;1.47;0.27;35.94;864;135;0
72.21;50.01;8816.53;1.45;0.27;36.81;879;120;0
75.72;50.06;7290.34;1.48;0.28;29;792;207;0
71.65;50.13;6259.57;1.7;0.28;25.15;677;322;0
80;50;7657.88;1.42;0.28;29.81;839;160;0
79.71;51.11;5000.27;2.07;0.29;19.64;538;461;0
73.59;78.88;5000.23;2.47;0.34;16.79;242;757;0
80;50.59;5441.86;1.9;0.29;21.09;554;445;0
78.85;50;10333.04;1.52;0.27;42.12;780;219;0
77.05;135.94;5000.05;2.74;0.37;14.73;100;899;0
80;50;9017.24;1.39;0.27;35.99;909;90;0
80;50.1;5960.52;1.72;0.29;22.95;603;396;0
65.85;50.06;7128.76;1.61;0.27;29.9;780;219;0
76.34;50.02;9050.49;1.42;0.27;37;908;91;0
64.24;50.22;5619.12;2.01;0.27;23.25;644;355;0
80;50;8141.59;1.39;0.28;31.97;880;119;0
79.98;51.65;5119.5;2.03;0.29;19.89;531;468;0
67.02;50.02;6864.94;1.63;0.27;28.49;768;231;0
66.95;50.01;5193.33;2.11;0.28;21.38;592;407;0
72.99;50;8541.18;1.44;0.27;35.36;909;90;0
79.97;50;10947.04;1.6;0.27;44.38;706;293;0
75.89;50;9024.56;1.42;0.27;36.98;908;91;0
80;50;10700.17;1.56;0.27;43.38;741;258;0
80;50;10720.5;1.56;0.27;43.46;737;262;0
72.02;93.42;5000.02;2.6;0.35;16.02;173;826;0
76.28;50;9676.84;1.47;0.27;39.86;841;158;0
80;50;11029.59;1.62;0.27;44.69;698;301;0
79.77;50;8410.86;1.39;0.28;33.26;918;81;0
69;50.1;6363.48;1.71;0.28;25.94;711;288;0
80;50;8191.28;1.39;0.28;32.2;886;113;0
79.97;50;10847.33;1.59;0.27;43.98;719;280;0
80;50;10960.35;1.61;0.27;44.42;705;294;0
74.04;115.83;5000.02;2.67;0.37;15.19;140;859;0
75.9;50;8736.41;1.41;0.27;35.65;921;78;0
71.62;58.88;5000;2.31;0.3;18.98;363;636;0
69.42;50;6091.78;1.77;0.28;24.75;687;312;0
73.18;118.02;5000;2.72;0.37;15.21;119;880;0
79.96;50.8;5835.69;1.78;0.29;22.39;565;434;0
76.8;149.91;5000.01;2.94;0.37;14.7;56;943;0
