speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;140.46;5000;52.85;0.8;4.91;115;884;0
79.99;139.72;5000;52.72;0.79;4.91;120;879;0
71.46;55.22;5000.01;51.44;0.57;8.59;383;616;0
79.99;126.2;5000;50.84;0.76;5.06;617;382;0
70.12;52.53;5000.47;51.56;0.56;8.85;335;664;0
74.5;50.01;5000;52.08;0.54;9.35;194;805;0
72.95;62.73;5000.32;50.95;0.61;7.85;577;422;0
72.39;59.31;5000;51.18;0.59;8.18;486;513;0
79.96;89.59;5000;49.72;0.69;6.19;921;78;0
79.99;97.67;5000;49.55;0.71;5.83;977;22;0
76.38;67.53;5000.01;50.81;0.62;7.55;631;368;0
78.64;71.54;5000.05;50.67;0.63;7.3;674;325;0
71.67;50;5000;51.86;0.54;9.23;230;769;0
78.85;150;5000;55.3;0.83;4.87;15;984;0
79.92;66.49;5000;51.17;0.61;7.79;488;511;0
78.67;70.37;5000;50.76;0.63;7.4;642;357;0
79.31;50;5000;52.48;0.53;9.57;138;861;0
69.97;58.77;5000.01;51.06;0.59;8.14;524;475;0
79.76;72.18;5000;50.71;0.63;7.3;662;337;0
78.04;72.58;5000;50.55;0.64;7.2;711;288;0
79.64;101.38;5000;49.54;0.72;5.67;985;14;0
72.29;53.93;5000;51.6;0.56;8.77;319;680;0
79.97;117.98;5000;50.13;0.75;5.21;837;162;0
80;124.1;5000.02;50.63;0.76;5.1;687;312;0
79.92;138.96;5000;52.61;0.79;4.92;125;874;0
79.98;119.45;5000;50.23;0.75;5.18;807;192;0
79.95;103.56;5000;49.56;0.72;5.61;971;28;0
80;128.25;5000;51.07;0.77;5.03;525;474;0
80;120.56;5000;50.32;0.75;5.16;782;217;0
72.68;62.37;5000;50.95;0.61;7.88;577;422;0
73.31;53.59;5000.34;51.71;0.56;8.86;284;715;0
71.67;50.4;5000;51.83;0.54;9.18;239;760;0
71.39;55.71;5000.02;51.39;0.57;8.53;399;600;0
78.49;150;5000;55.46;0.83;4.87;6;993;0
71.25;55.94;5000.01;51.37;0.58;8.5;410;589;0
79.99;129.98;5000;51.27;0.77;5.01;450;549;0
79.98;109.18;5000;49.68;0.73;5.43;931;68;0
75.07;60;5000;51.32;0.59;8.21;432;567;0
80;122.59;5000;50.49;0.76;5.12;724;275;0
80;108.16;5000;49.65;0.73;5.46;940;59;0
73.11;58.12;5000;51.32;0.58;8.33;430;569;0
79.99;145.5;5000.02;53.83;0.81;4.88;75;924;0
79.78;50;5000;52.52;0.53;9.59;134;865;0
71.12;66.28;5000.01;50.57;0.63;7.45;690;309;0
79.65;80.61;5000;50.13;0.66;6.69;835;164;0
71.12;62.12;5000.02;50.88;0.61;7.84;601;398;0
74.36;63.58;5000.01;50.97;0.61;7.83;567;432;0
78.93;67.83;5000;50.98;0.62;7.63;563;436;0
79.9;124.64;5000.01;50.69;0.76;5.09;667;332;0
69.74;50.1;5000;51.71;0.55;9.13;283;716;0
69.17;59.05;5000.01;51;0.6;8.08;545;454;0
80;77.87;5000;50.32;0.65;6.89;780;219;0
72.48;55.53;5000.01;51.49;0.57;8.59;362;637;0
79.99;103.91;5000;49.56;0.72;5.6;967;32;0
78.33;72.21;5000.01;50.6;0.64;7.24;695;304;0
68.53;50;5000;51.64;0.55;9.1;302;697;0
75.47;62.73;5000;51.13;0.6;7.96;505;494;0
75.77;50;5000;52.19;0.54;9.41;178;821;0
65.29;50.18;5000.09;51.46;0.56;8.95;363;636;0
75.28;62.73;5000;51.11;0.6;7.95;510;489;0
80;76.97;5000.06;50.38;0.65;6.95;760;239;0
79.62;68.03;5000;51.02;0.62;7.64;541;458;0
72.54;51.15;5000;51.84;0.55;9.12;235;764;0
79.8;138.65;5000;52.59;0.79;4.92;124;875;0
71.5;55.78;5000.01;51.4;0.57;8.52;398;601;0
65.04;52.53;5000.01;51.3;0.57;8.65;429;570;0
79.96;97.94;5000;49.54;0.71;5.82;981;18;0
79.44;150;5000;55.04;0.82;4.87;32;967;0
79.99;71.39;5000.12;50.79;0.63;7.37;634;365;0
79.99;73.52;5000;50.63;0.64;7.2;691;308;0
78.44;150;5000;55.48;0.83;4.87;4;995;0
67.26;51.2;5001.07;51.49;0.56;8.9;358;641;0
79.42;150;5000;55.05;0.82;4.87;31;968;0
79.8;131.62;5000.02;51.52;0.78;4.99;348;651;0
79.98;138.95;5000;52.59;0.79;4.92;127;872;0
78.82;79.65;5000;50.13;0.66;6.72;833;166;0
79.97;137.07;5000;52.28;0.79;4.94;163;836;0
71.37;54.61;5000;51.48;0.57;8.65;365;634;0
69.1;54;5000.01;51.38;0.57;8.63;403;596;0
69.79;51.21;5000.01;51.63;0.55;9;304;695;0
71.73;51.15;5000;51.77;0.55;9.09;258;741;0
79.99;72.06;5000.02;50.74;0.63;7.32;653;346;0
75.72;64.86;5001.28;50.98;0.61;7.76;564;435;0
71.39;58.79;5000;51.15;0.59;8.19;497;502;0
74.9;58.45;5000;51.43;0.58;8.37;383;616;0
71.78;55.48;5000;51.44;0.57;8.57;382;617;0
79.96;121.83;5000.01;50.43;0.76;5.14;745;254;0
79.79;75.41;5000;50.47;0.64;7.05;730;269;0
79.99;97.96;5000;49.55;0.71;5.82;980;19;0
71.85;60.77;5000;51.02;0.6;8;541;458;0
79.72;71.51;5000.01;50.76;0.63;7.35;642;357;0
75.05;50;5000;52.13;0.54;9.38;187;812;0
79.98;126.64;5000;50.89;0.77;5.06;599;400;0
80;82.16;5000;50.06;0.67;6.61;853;146;0
74.5;50.01;5000;52.08;0.54;9.35;195;804;0
71.43;52.32;5000.01;51.66;0.56;8.93;300;699;0
71.37;62.88;5000.01;50.83;0.61;7.78;617;382;0
73.62;55.24;5000;51.6;0.57;8.68;320;679;0
79.81;71.87;5000.06;50.74;0.63;7.32;652;347;0
75.54;63.53;5000;51.07;0.61;7.88;527;472;0
78.07;69.64;5000;50.77;0.63;7.44;639;360;0
70.47;50.24;5000.12;51.75;0.55;9.15;263;736;0
79.94;116.78;5000.01;50.05;0.75;5.24;856;143;0
79.46;80.74;5000;50.11;0.66;6.68;841;158;0
80;145.58;5000;53.84;0.81;4.88;74;925;0
